,0
1076988.0028360554,6.4
1076987.7452685873,7.9
1076988.0172245381,2.6
1075506.5957451083,15.2
1076987.999328208,6.5
842249.8163346569,24.7
1076957.4550224037,11.2
1076987.3836877602,8.4
1076986.9923736241,8.7
1076988.017224473,2.8
1076988.017174853,4.3
1076287.8335893976,14.3
1070143.4166694516,17.3
1076450.2210007315,14.0
1076987.9666326193,7.0
1076988.0028360554,6.4
1076496.311759954,13.9
1076987.562399478,8.2
1076988.0172243016,3.0
1076578.0205621275,13.7
1076988.0172245714,1.9
1076988.0171289677,4.5
1076975.0182675903,10.5
1076988.0162302942,5.3
1076988.0171995417,4.1
1076614.1143181724,13.6
1072439.2258267528,16.7
1076988.0172070444,4.0
1007439.8127685981,21.5
883545.2440922474,45.9
1076904.0947493487,12.1
1076988.0172245135,2.7
1076987.999328208,6.5
1076538.8299395991,13.8
1076705.9201061407,13.3
1031462.925033576,20.6
1075252.3312406265,15.4
1076987.1423688468,8.6
1076988.015539875,5.5
1076904.0947493487,12.1
1076975.0182675903,10.5
1076156.5119982858,14.5
1076496.311759954,13.9
1076987.9898312476,6.7
1063272.7847067735,18.4
1076988.0166502153,5.1
1076988.0172220336,3.5
1076957.4550224037,11.2
1063272.7847067735,18.4
1076986.9923736241,8.7
1076538.8299395991,13.8
1076988.0172245714,1.8
1076496.311759954,13.9
1076988.0172245714,1.9
1076982.1029012045,9.9
1076156.5119982858,14.5
1076988.016466775,5.2
1076987.826528235,7.7
1076987.562399478,8.2
1076988.017174853,4.3
429763.7675484335,31.7
1076987.9074065164,7.4
1066252.3877729394,18.0
1076987.3836877602,8.4
1076987.7892093312,7.8
1076988.0170934864,4.6
1076985.8219955806,9.2
441088.0028753048,29.8
1066903.899567965,17.9
842249.8163346569,24.7
1076988.0126623025,5.9
1076987.999328208,6.5
1076975.0182675903,10.5
1076677.8662934417,13.4
1076971.310566857,10.7
1076983.5239746952,9.7
1076988.0056989482,6.3
1076987.7452685873,7.9
1076912.6622691336,12.0
1076949.4476803716,11.4
1076988.0028360554,6.4
1076975.0182675903,10.5
1007439.8127685981,21.5
1076949.4476803716,11.4
1076957.4550224037,11.2
1076003.6382632195,14.7
1043380.3581443101,20.0
1076988.017174853,4.3
1076988.0028360554,6.4
1076988.0099140536,6.1
1076677.8662934417,13.4
1076957.4550224037,11.2
1026805.9096631053,20.8
1076988.0166502153,5.1
1076966.661785111,10.9
1076912.6622691336,12.0
1063272.7847067735,18.4
1076982.1029012045,9.9
1076980.2813340388,10.1
1076987.8848737169,7.5
1063272.7847067735,18.4
1076927.4632379343,11.8
1076496.311759954,13.9
1076988.015048138,5.6
1076346.2658834006,14.2
1076988.015926987,5.4
1074031.5393751897,16.1
1076988.0172243016,3.0
1076796.7240855573,12.9
1072439.2258267528,16.7
1076971.310566857,10.7
1076985.8219955806,9.2
748100.0502133584,35.2
1076927.4632379343,11.8
1076988.0172220336,3.5
1076987.562399478,8.2
961364.9778578772,22.7
1066903.899567965,17.9
1076957.4550224037,11.2
1076814.8378207495,12.8
1076957.4550224037,11.2
1076904.0947493487,12.1
1076538.8299395991,13.8
1076988.0172245381,2.6
1070584.4508414627,17.2
1076987.975856548,6.9
1076957.4550224037,11.2
1076987.7452685873,7.9
1076987.3836877602,8.4
1076986.6192703957,8.9
1076987.926355522,7.3
1076980.2813340388,10.1
441088.0028753048,29.8
1076988.017174853,4.3
1076975.0182675903,10.5
1076988.0170934864,4.6
1076988.017174853,4.3
1076977.9599760817,10.3
1076927.4632379343,11.8
1033657.1925837211,20.5
1076988.0170934864,4.6
1066903.899567965,17.9
1076976.5751320433,10.4
1076987.8848737169,7.5
1076957.4550224037,11.2
1076927.4632379343,11.8
1076963.9205129237,11.0
1076988.015926987,5.4
1076957.4550224037,11.2
1076912.6622691336,12.0
1076987.826528235,7.7
1076987.8848737169,7.5
1076957.4550224037,11.2
1076980.2813340388,10.1
1076986.389283178,9.0
1066903.899567965,17.9
693965.3576634144,34.7
1076450.2210007315,14.0
1076987.926355522,7.3
1076933.826489547,11.7
1049800.0030116425,19.6
1076988.0172245612,2.4
1076987.1423688468,8.6
1076949.4476803716,11.4
1076988.0172245381,2.6
1013487.0037179374,21.3
1076987.9666326193,7.0
1075383.9242319027,15.3
1072439.2258267528,16.7
1076933.826489547,11.7
946987.1904826895,23.0
1072439.2258267528,16.7
936726.0650111425,23.2
1076949.4476803716,11.4
1066903.899567965,17.9
1076988.0099140536,6.1
1076988.0170934864,4.6
1076988.016466775,5.2
1076912.6622691336,12.0
1076987.826528235,7.7
1076987.6936508066,8.0
1076984.625914839,9.5
1076986.389283178,9.0
1072439.2258267528,16.7
1049800.0030116425,19.6
1076986.125046816,9.1
